"MD_EARN_WNE_P6","HIGHDEG","REGION","UGDS_WHITE","UGDS_BLACK","UGDS_HISP","UGDS_ASIAN","UGDS_AIAN","UGDS_NHPI","C150_4","C150_L4","UGDS","UGDS_MEN","NPT4_PUB","NPT4_PRIV","PCIP04","PCIP05","PCIP09","PCIP11","PCIP12","PCIP14","PCIP23","PCIP26","PCIP27","PCIP38","PCIP42","PCIP45","PCIP50","PCIP51","PCIP52","PCIP54","ADM_RATE","SAT_AVG"
42464,NA,"Far West",0.4532,0.0255,0.2132,17.48,0.0017,0.0065,0.7298,NA,4005,0.3683,NA,31345,0,0,0.1077,0.0224,0,0.009,0.0348,0.0606,0.0101,0.0067,0.0741,0.0842,0.1178,0.0774,0.1392,0.0123,0.7347,1170
46036,NA,"Far West",0.3886,0.0681,0.3644,5.35,0.0061,0.0092,0.5491,NA,7811,0.3775,NA,23365,0.0055,0,0.0493,0.0074,0,0.0579,0.0222,0.0481,0.0062,0.0154,0.0955,0.0437,0.0234,0.1787,0.1583,0.0105,0.7955,1103
129420,NA,"Far West",0.2711,0.0148,0.1382,40.4,0,0,0.9202,NA,948,0.5464,NA,23820,0,0,0,0.25,0,0.3684,0,0.0526,0.0614,0,0,0.0044,0,0,0.0044,0,0.0662,1566
49746,NA,"Far West",0.4283,0.0432,0.335,4.88,0.0023,0.0049,0.7616,NA,3054,0.4332,NA,27220,0,0,0.1382,0.0244,0,0.0027,0.0149,0.0772,0.0068,0.0095,0.1301,0.0596,0.0407,0,0.2493,0.0136,0.7147,1163
66662,NA,"Far West",0.5424,0.0079,0.1708,13.27,0.0014,0.0019,0.8174,NA,21047,0.5165,20592,NA,0.0441,0.0021,0.0304,0.0351,0,0.25,0.0133,0.0516,0.0162,0.0062,0.0252,0.0495,0.0173,0,0.1446,0.0108,0.3017,1339
42079,NA,"Far West",0.1129,0.0476,0.6551,5.23,0.0019,0.0018,0.568,NA,17704,0.3942,8209,NA,0,2e-04,0.0423,0.0348,0,0.0075,0.0293,0.0276,0.0201,0.001,0.1448,0.095,0.0384,0.0621,0.2263,0.0176,0.5483,991
51735,NA,"Far West",0.1584,0.0344,0.4559,21.39,0.0016,0.0017,0.7111,NA,24841,0.5346,12842,NA,0.0269,0.004,0.0204,0.0357,0,0.1723,0.0116,0.0525,0.0155,0.0031,0.0294,0.0537,0.0371,0.0071,0.3177,0.0128,0.5515,1143
47409,NA,"Far West",0.4227,0.027,0.3428,5.57,0.0048,0.0023,0.6627,NA,16317,0.4704,14453,NA,0,0.0034,0.0467,0.0341,0,0.0525,0.0143,0.0298,0.0075,0.0019,0.0659,0.0956,0.0632,0.0763,0.1574,0.0116,0.6526,1092
42306,NA,"Far West",0.1782,0.0266,0.5353,13.12,0.0042,0.0018,0.5399,NA,21732,0.411,6452,NA,0,0.0025,0.047,0.0104,0,0.0407,0.0155,0.0322,0.0066,0.0044,0.0788,0.1375,0.0324,0.0985,0.1532,0.015,0.5753,1019
45657,NA,"Far West",0.187,0.0183,0.4384,21.69,0.001,0.0016,0.6775,NA,34637,0.4368,8234,NA,0,0.0061,0.1113,0.0214,0,0.0432,0.0197,0.0334,0.0083,0.0028,0.0773,0.0604,0.0519,0.0955,0.247,0.011,0.4341,1124
